City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
153,Saint-Pierre,RE,2020-05-08 14:11:30,-21.34,55.48,77.0,78,83,5.82,broken clouds,0.000,0
154,Port Keats,AU,2020-05-08 14:11:30,-14.25,129.55,75.9,67,72,4.56,broken clouds,0.000,0
155,Fortuna,US,2020-05-08 14:11:30,40.6,-124.16,50.0,100,90,1.99,overcast clouds,0.000,0
156,Sao Felix Do Xingu,BR,2020-05-08 14:11:31,-6.64,-51.99,84.36,66,78,5.3,broken clouds,0.000,0
157,Port Alfred,ZA,2020-05-08 14:11:31,-33.59,26.89,68.0,88,2,4.0,clear sky,0.000,0
158,Puerto Quijarro,BO,2020-05-08 14:11:31,-17.78,-57.77,70.97,38,0,4.72,clear sky,0.000,0
159,Sao Filipe,CV,2020-05-08 14:11:31,14.9,-24.5,76.33,69,99,16.55,overcast clouds,0.000,0
160,Buraydah,SA,2020-05-08 14:11:32,26.33,43.98,98.6,23,40,16.11,dust,0.000,0
161,Srednekolymsk,RU,2020-05-08 14:11:32,67.45,153.68,26.19,96,30,7.78,scattered clouds,0.000,0
162,Batagay,RU,2020-05-08 14:11:32,67.63,134.63,26.47,98,100,3.42,overcast clouds,0.000,0
163,Zhanaozen,KZ,2020-05-08 14:11:32,43.3,52.8,71.01,59,98,18.63,overcast clouds,0.000,0
164,Padang,ID,2020-05-08 14:11:32,-0.95,100.35,80.15,77,99,3.94,overcast clouds,0.000,0
165,Gizo,SB,2020-05-08 14:11:33,-8.1,156.84,82.45,78,39,6.49,light rain,0.000,0
166,Kaitangata,NZ,2020-05-08 14:11:33,-46.28,169.85,44.01,86,89,4.0,overcast clouds,0.000,0
167,Baghdad,IQ,2020-05-08 14:11:33,33.34,44.4,93.2,17,0,4.7,clear sky,0.000,0
168,Semarang,ID,2020-05-08 14:11:33,-6.99,110.42,79.7,87,82,3.15,light rain,0.000,0
169,Kharhial,IN,2020-05-08 14:11:33,20.28,82.77,95.38,23,49,7.54,scattered clouds,0.000,0
170,Tilichiki,RU,2020-05-08 14:11:34,60.47,166.1,21.85,98,0,10.38,clear sky,0.000,0
171,Lorengau,PG,2020-05-08 14:11:34,-2.02,147.27,81.99,79,100,4.29,overcast clouds,0.000,0
172,Namibe,AO,2020-05-08 14:11:34,-15.2,12.15,96.8,47,0,19.46,clear sky,0.000,0
173,Mastic Beach,US,2020-05-08 14:11:34,40.77,-72.85,52.0,37,75,9.17,broken clouds,0.000,0
174,Olinda,BR,2020-05-08 14:11:34,-8.01,-34.86,86.0,70,40,10.29,scattered clouds,0.000,0
175,Scarborough,GB,2020-05-08 14:11:35,54.28,-0.4,70.0,62,100,3.0,overcast clouds,0.000,0
176,Mount Gambier,AU,2020-05-08 14:11:35,-37.83,140.77,51.8,100,75,11.41,broken clouds,0.000,0
177,Dandeli,IN,2020-05-08 14:11:35,15.27,74.62,84.2,66,20,6.93,few clouds,0.000,0
178,Cartagena,CO,2020-05-08 14:08:46,10.4,-75.51,84.2,89,75,3.36,haze,0.000,0
179,Kahului,US,2020-05-08 14:08:04,20.89,-156.47,69.8,88,90,6.93,moderate rain,0.000,0
180,Nalut,LY,2020-05-08 14:11:35,30.33,10.85,98.58,9,100,9.69,overcast clouds,0.000,0
181,Luanda,AO,2020-05-08 14:10:37,-8.84,13.23,86.0,74,90,3.36,overcast clouds,0.000,0
182,Katsuura,JP,2020-05-08 14:11:36,35.13,140.3,63.0,63,8,16.11,clear sky,0.000,0
183,Ploufragan,FR,2020-05-08 14:11:36,48.49,-2.79,73.0,55,100,10.29,overcast clouds,0.000,0
184,Rocha,UY,2020-05-08 14:11:36,-34.48,-54.33,58.87,61,0,8.21,clear sky,0.000,0
185,Port Hardy,CA,2020-05-08 14:11:36,50.7,-127.42,35.6,100,20,4.7,few clouds,0.000,0
186,Corrales,US,2020-05-08 14:11:36,35.24,-106.61,55.99,25,42,1.99,scattered clouds,0.000,0
187,San Quintin,MX,2020-05-08 14:11:37,30.48,-115.95,67.1,64,2,3.85,clear sky,0.000,0
188,Cayenne,GF,2020-05-08 14:11:37,4.93,-52.33,86.0,70,75,12.75,broken clouds,0.000,0
189,Tamiahua,MX,2020-05-08 14:11:37,21.27,-97.45,79.16,78,18,2.19,few clouds,0.000,0
190,Naranjal,EC,2020-05-08 14:11:37,-2.67,-79.62,81.0,83,20,4.7,few clouds,0.000,0
191,Cheremukhovo,RU,2020-05-08 14:11:37,60.35,59.99,71.02,45,88,6.91,overcast clouds,0.000,0
192,Kavieng,PG,2020-05-08 14:11:38,-2.57,150.8,83.08,72,0,7.54,clear sky,0.000,0
193,Samarai,PG,2020-05-08 14:11:38,-10.62,150.67,79.41,82,48,16.02,scattered clouds,0.000,0
194,Guerrero Negro,MX,2020-05-08 14:11:38,27.98,-114.06,67.39,63,0,4.12,clear sky,0.000,0
195,Waingapu,ID,2020-05-08 14:11:38,-9.66,120.26,77.67,79,6,8.75,clear sky,0.000,0
196,Naze,JP,2020-05-08 14:11:38,28.37,129.48,71.6,83,90,12.75,overcast clouds,0.000,0
197,Kang,BW,2020-05-08 14:11:38,-23.68,22.79,78.84,22,0,6.06,clear sky,0.000,0
198,Tignere,CM,2020-05-08 14:11:39,7.37,12.65,79.81,63,86,5.7,moderate rain,0.000,0
199,San Policarpo,PH,2020-05-08 14:11:39,12.18,125.51,82.0,77,88,6.8,overcast clouds,0.000,0
200,Camacha,PT,2020-05-08 14:11:39,33.08,-16.33,69.8,56,20,9.17,few clouds,0.000,0
201,Santiago Del Estero,AR,2020-05-08 14:11:39,-27.8,-64.26,61.18,45,0,15.3,clear sky,0.000,0
202,Diego De Almagro,CL,2020-05-08 14:11:40,-26.37,-70.05,77.43,18,0,4.72,clear sky,0.000,0
203,Ahuimanu,US,2020-05-08 14:11:40,21.44,-157.84,75.2,64,40,14.99,scattered clouds,0.000,0
204,Tevriz,RU,2020-05-08 14:11:40,57.51,72.4,69.93,39,1,3.2,clear sky,0.000,0
205,Namatanai,PG,2020-05-08 14:11:40,-3.67,152.43,80.76,76,10,6.31,clear sky,0.000,0
206,Pevek,RU,2020-05-08 14:11:40,69.7,170.31,25.39,90,0,8.23,clear sky,0.000,0
207,Datong,CN,2020-05-08 14:11:40,40.09,113.29,57.2,61,100,15.86,light rain,0.000,0
208,Awbari,LY,2020-05-08 14:11:41,26.59,12.78,100.9,8,1,11.45,clear sky,0.000,0
209,San Luis,AR,2020-05-08 14:11:41,-33.3,-66.34,64.15,36,12,13.31,few clouds,0.000,0
210,Hualmay,PE,2020-05-08 14:11:41,-11.1,-77.61,71.91,71,16,7.11,few clouds,0.000,0
211,Tiznit,MA,2020-05-08 14:11:41,29.58,-9.5,69.84,52,0,11.56,clear sky,0.000,0
212,Lebu,CL,2020-05-08 14:11:41,-37.62,-73.65,59.99,76,100,7.78,overcast clouds,0.000,0
213,Storforshei,NO,2020-05-08 14:11:41,66.4,14.52,39.2,48,40,6.93,scattered clouds,0.000,0
214,Ahipara,NZ,2020-05-08 14:11:42,-35.17,173.17,55.65,85,22,5.03,few clouds,0.000,0
215,Point Fortin,TT,2020-05-08 14:11:42,10.18,-61.68,88.0,59,99,11.34,overcast clouds,0.000,0
216,Sao Jose Da Coroa Grande,BR,2020-05-08 14:11:42,-8.9,-35.15,84.06,61,51,7.02,broken clouds,0.000,0
217,Puerto Armuelles,PA,2020-05-08 14:11:42,8.28,-82.87,80.6,83,20,2.13,few clouds,0.000,0
218,Palmer,US,2020-05-08 14:11:42,42.16,-72.33,51.01,42,20,9.17,few clouds,0.000,0
219,Mount Isa,AU,2020-05-08 14:11:43,-20.73,139.5,69.8,46,90,4.7,overcast clouds,0.000,0
220,Basoko,CD,2020-05-08 14:11:43,1.24,23.62,87.1,54,19,1.19,few clouds,0.000,0
221,Bubaque,GW,2020-05-08 14:11:43,11.28,-15.83,79.86,62,96,6.44,overcast clouds,0.000,0
222,Kampot,KH,2020-05-08 14:11:43,10.62,104.18,86.0,88,20,3.36,few clouds,0.000,0
223,Bangassou,CF,2020-05-08 14:07:03,4.74,22.82,88.68,51,66,5.91,broken clouds,0.000,0
224,Hunterville,NZ,2020-05-08 14:11:44,-39.93,175.57,55.99,88,59,1.99,broken clouds,0.000,0
225,Hasaki,JP,2020-05-08 14:11:44,35.73,140.83,57.2,81,3,5.82,clear sky,0.000,0
226,Bagan,RU,2020-05-08 14:11:44,54.1,77.66,68.14,50,0,10.07,clear sky,0.000,0
227,Rabat,MA,2020-05-08 14:09:38,33.99,-6.84,71.6,60,40,5.82,scattered clouds,0.000,0
228,Arica,CL,2020-05-08 14:11:44,-18.48,-70.3,64.4,77,23,4.7,few clouds,0.000,0
229,Sangmelima,CM,2020-05-08 14:11:44,2.93,11.98,77.38,90,97,3.0,moderate rain,0.000,0
230,Rafraf,TN,2020-05-08 14:11:45,37.19,10.18,80.6,53,100,17.22,overcast clouds,0.000,0
231,Fort Nelson,CA,2020-05-08 14:11:45,58.81,-122.7,41.0,86,75,2.3,broken clouds,0.000,0
232,Bathsheba,BB,2020-05-08 14:11:45,13.22,-59.52,87.8,58,20,20.8,few clouds,0.000,0
233,Barra Do Corda,BR,2020-05-08 14:11:45,-5.5,-45.25,87.48,66,93,2.75,overcast clouds,0.000,0
234,Lamar,US,2020-05-08 14:11:45,33.67,-95.58,63.0,93,90,14.99,overcast clouds,0.000,0
235,Nuuk,GL,2020-05-08 14:11:45,64.18,-51.72,42.8,81,75,9.17,broken clouds,0.000,0
236,Boleslawiec,PL,2020-05-08 14:11:45,51.26,15.57,73.99,31,77,8.99,broken clouds,0.000,0
237,Port Macquarie,AU,2020-05-08 14:11:46,-31.43,152.92,55.0,96,0,7.45,clear sky,0.000,0
238,Esperance,AU,2020-05-08 14:11:46,-33.87,121.9,51.8,81,40,6.93,scattered clouds,0.000,0
239,Khatanga,RU,2020-05-08 14:11:46,71.97,102.5,16.86,93,42,16.37,scattered clouds,0.000,0
