City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
182,Terra Santa,BR,85.24,moderate rain,-2.1,-56.49,Igreja da paz
183,Vila Velha,BR,78.8,few clouds,-20.33,-40.29,Hotel Vitória Palace
187,Uvalde,US,80.6,scattered clouds,29.37,-99.77,
189,Oistins,BB,87.8,scattered clouds,13.07,-59.53,Butterfly Beach Hotel
192,Mayumba,GA,81.46,light rain,-3.43,10.66,LIKWALE LODGE
193,Souillac,MU,75.2,few clouds,-20.52,57.52,Bils' Villa
194,Beyneu,KZ,75.94,few clouds,45.32,55.2,NUR
198,Pombas,CV,80.6,few clouds,17.15,-25.02,POUSADA O RECANTO
203,Vigia,BR,84.2,broken clouds,-0.86,-48.14,Hotel Bom Jesus
208,Luanda,AO,84.2,broken clouds,-8.84,13.23,EPIC SANA Luanda
209,Buala,SB,80.58,light rain,-8.14,159.59,Maringe Lagoon Lodge
210,Vaini,TO,78.8,broken clouds,-21.2,-175.2,Keleti Beach Resort
212,Marawi,PH,82.0,broken clouds,8.0,124.29,Derogongan Residence
216,San Policarpo,PH,81.57,overcast clouds,12.18,125.51,Zal-Ann Beach Resort
218,Gizo,SB,82.26,scattered clouds,-8.1,156.84,Imagination Island
219,Juba,SS,80.26,light rain,4.85,31.58,ROYAL PALACE HOTEL - JUBA
220,Sembe,CG,76.12,light rain,1.65,14.58,
221,Praya,CV,80.6,scattered clouds,14.92,-23.51,LT Aparthotel
222,Phan Thiet,VN,80.31,broken clouds,10.93,108.1,Hotel Saigon-PT
224,Deqing,CN,77.0,light rain,30.54,119.96,Narada Boutique Hotel Huzhou Deqing
225,Roebourne,AU,76.98,clear sky,-20.78,117.13,Harding River Caravan Park
227,Omboue,GA,82.45,overcast clouds,-1.57,9.26,Hotel Olako
228,Lethem,GY,87.91,overcast clouds,3.38,-59.8,Savannah Inn
230,Cururupu,BR,85.15,light rain,-1.83,-44.87,Pousada Través'cia
236,Mawlaik,MM,81.36,clear sky,23.63,94.42,AKZ Guest House
239,Karanganyar,ID,79.5,few clouds,-6.71,111.08,Guntur Patie Home's
240,Pahrump,US,80.01,scattered clouds,36.21,-115.98,Best Western Pahrump Oasis
243,Banda Aceh,ID,79.39,light rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
246,Morant Bay,JM,87.8,scattered clouds,17.88,-76.41,Whispering Bamboo Cove Resort
257,Sechura,PE,80.1,few clouds,-5.56,-80.82,Hospedaje Costa Bella
259,Olinda,BR,86.0,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
260,Bathsheba,BB,87.8,scattered clouds,13.22,-59.52,Atlantis Hotel
263,San Pedro,PH,87.8,broken clouds,14.35,121.02,Palines Apartment and Guesthouse
264,Luorong,CN,82.38,light rain,24.41,109.61,荣立大酒店
265,Warmbad,,80.35,clear sky,-28.45,18.73,
267,Ixtapa,MX,82.99,few clouds,20.7,-105.2,Container Inn Puerto Vallarta
270,Fomboni,KM,81.32,clear sky,-12.28,43.74,Auberge les abou
272,Port Blair,IN,84.31,light rain,11.67,92.75,Hotel Sentinel
274,Ambilobe,MG,76.66,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
278,Longyan,CN,76.21,overcast clouds,25.11,117.02,Jinjiang Inn Longyan Zhongshan Road Pedestrian Street
279,Kavaratti,IN,86.13,overcast clouds,10.57,72.64,Bismillah Hotel And Lodging
295,Jalu,LY,86.49,clear sky,29.03,21.55,Jalu Hotel
296,Axim,GH,85.55,light rain,4.87,-2.24,AXIM BEACH RESORT AND SPA
302,Yanam,IN,83.5,broken clouds,16.73,82.22,The Regency Hotel
304,Pemangkat,ID,81.45,overcast clouds,1.17,108.97,Kost H.Syamsuddin
305,Sambava,MG,77.76,clear sky,-14.27,50.17,Melrose
306,Tecoanapa,MX,87.33,clear sky,16.52,-98.75,Hotel Manglares
